time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0.81,-3894.15,1560.01,-10.1891,-24.9279,-7.03271,114.027,27.0439,-32.0507,-0.430097,-11.3172,0.889716
0.82,-3894.26,1560.26,-10.1559,-25.2324,-7.08329,113.925,27.0501,-31.3683,-0.150423,-11.31,0.880863
0.83,-3894.37,1560.5,-10.1224,-25.5299,-7.13185,113.823,27.0564,-30.6827,0.127021,-11.3,0.872099
0.84,-3894.47,1560.75,-10.0887,-25.8204,-7.1784,113.719,27.0626,-29.9949,0.40206,-11.2874,0.863421
0.85,-3894.58,1560.99,-10.0548,-26.1038,-7.22294,113.614,27.0689,-29.3059,0.674529,-11.2724,0.85483
0.86,-3894.69,1561.24,-10.0207,-26.3801,-7.26548,113.509,27.0751,-28.6167,0.944273,-11.2549,0.846324
0.87,-3894.8,1561.49,-9.98631,-26.6493,-7.30603,113.402,27.0813,-27.928,1.21114,-11.235,0.837903
0.88,-3894.9,1561.73,-9.95178,-26.9115,-7.34461,113.295,27.0875,-27.2407,1.47501,-11.213,0.829566
0.89,-3895.01,1561.98,-9.91706,-27.1666,-7.38123,113.187,27.0936,-26.5556,1.73573,-11.1888,0.821312
0.9,-3895.11,1562.23,-9.88217,-27.4148,-7.4159,113.079,27.0997,-25.8734,1.99318,-11.1625,0.813139
0.91,-3895.22,1562.47,-9.84711,-27.6559,-7.44864,112.969,27.1058,-25.1949,2.24726,-11.1343,0.805048
0.92,-3895.32,1562.72,-9.81189,-27.8901,-7.47946,112.859,27.1119,-24.5206,2.49786,-11.1043,0.797038
0.93,-3895.43,1562.97,-9.77653,-28.1175,-7.50837,112.747,27.1179,-23.8513,2.74488,-11.0724,0.789107
0.94,-3895.53,1563.22,-9.74102,-28.338,-7.53541,112.636,27.1239,-23.1874,2.98823,-11.039,0.781256
0.95,-3895.64,1563.47,-9.70539,-28.5518,-7.56057,112.523,27.1298,-22.5296,3.22783,-11.0039,0.773482
